year,hot_days,hot_nights,hw_events,hw_days,hn_events,hn_days,city,period
1996,0,3,0,0,0,0,Phoenix,baseline
1997,3,4,1,3,0,0,Phoenix,baseline
1998,1,4,0,0,1,4,Phoenix,baseline
1999,1,3,0,0,0,0,Phoenix,baseline
2000,7,1,1,3,0,0,Phoenix,baseline
2001,8,2,1,3,0,0,Phoenix,baseline
2002,7,10,1,3,2,6,Phoenix,baseline
2003,4,12,0,0,0,0,Phoenix,baseline
2004,6,8,1,3,2,8,Phoenix,baseline
2005,3,3,1,3,0,0,Phoenix,baseline
2006,4,1,1,3,0,0,Phoenix,baseline
2007,8,5,2,6,1,3,Phoenix,baseline
2008,18,16,4,13,2,11,Phoenix,baseline
2009,18,3,4,14,0,0,Phoenix,baseline
2010,3,9,0,0,1,5,Phoenix,baseline
2011,8,8,1,3,0,0,Phoenix,baseline
2012,3,9,1,3,0,0,Phoenix,baseline
2013,4,12,0,0,2,10,Phoenix,baseline
2014,17,5,3,15,1,3,Phoenix,baseline
2015,3,10,1,3,1,3,Phoenix,baseline
2016,7,3,1,3,0,0,Phoenix,baseline
2017,19,13,3,17,2,9,Phoenix,baseline
2018,23,12,5,20,1,3,Phoenix,baseline
2019,26,9,3,20,2,7,Phoenix,baseline
2020,2,21,0,0,4,18,Phoenix,baseline
2021,5,4,1,5,0,0,Phoenix,baseline
2022,9,12,1,7,1,5,Phoenix,baseline
2023,4,9,1,3,2,6,Phoenix,baseline
2024,9,13,2,7,1,8,Phoenix,baseline
2025,8,7,1,5,1,7,Phoenix,baseline
2026,0,7,0,0,0,0,Phoenix,baseline
2027,13,3,3,10,0,0,Phoenix,future
2028,16,22,2,10,2,15,Phoenix,future
2029,8,23,1,4,4,18,Phoenix,future
2030,12,14,2,10,2,7,Phoenix,future
2031,9,10,2,8,2,8,Phoenix,future
2032,23,17,4,20,4,14,Phoenix,future
2033,18,32,4,16,3,28,Phoenix,future
2034,7,11,1,3,2,7,Phoenix,future
2035,9,7,2,8,1,5,Phoenix,future
2036,12,4,1,5,0,0,Phoenix,future
2037,9,17,2,6,3,15,Phoenix,future
2038,24,14,5,20,1,11,Phoenix,future
2039,33,24,3,28,4,20,Phoenix,future
2040,16,10,3,14,2,6,Phoenix,future
2041,13,22,2,7,1,16,Phoenix,future
2042,26,15,4,20,3,13,Phoenix,future
2043,13,16,3,13,1,8,Phoenix,future
2044,19,18,3,13,1,16,Phoenix,future
2045,12,16,1,4,1,13,Phoenix,future
2046,22,34,5,15,4,27,Phoenix,future
2047,19,16,3,13,3,10,Phoenix,future
2048,7,16,1,4,1,14,Phoenix,future
2049,8,16,2,8,2,10,Phoenix,future
2050,29,23,3,23,4,17,Phoenix,future
2051,21,21,2,14,3,19,Phoenix,future
2052,23,24,5,20,4,20,Phoenix,future
2053,15,28,1,11,6,21,Phoenix,future
2054,25,20,4,17,3,12,Phoenix,future
2055,20,24,3,17,3,19,Phoenix,future
2056,17,23,3,11,3,20,Phoenix,future
2057,31,18,5,24,2,9,Phoenix,future
1996,0,4,0,0,0,0,Tucson,baseline
1997,1,3,0,0,0,0,Tucson,baseline
1998,0,0,0,0,0,0,Tucson,baseline
1999,4,4,1,3,0,0,Tucson,baseline
2000,2,4,0,0,0,0,Tucson,baseline
2001,5,8,1,4,0,0,Tucson,baseline
2002,9,8,1,8,1,4,Tucson,baseline
2003,1,5,0,0,0,0,Tucson,baseline
2004,9,1,3,9,0,0,Tucson,baseline
2005,4,5,1,3,0,0,Tucson,baseline
2006,10,0,2,9,0,0,Tucson,baseline
2007,8,7,2,6,1,3,Tucson,baseline
2008,8,21,1,3,2,12,Tucson,baseline
2009,24,5,5,20,0,0,Tucson,baseline
2010,5,5,1,3,0,0,Tucson,baseline
2011,5,17,1,3,1,3,Tucson,baseline
2012,5,5,1,4,1,3,Tucson,baseline
2013,3,8,1,3,1,3,Tucson,baseline
2014,21,15,3,19,2,9,Tucson,baseline
2015,5,10,1,3,2,6,Tucson,baseline
2016,11,8,1,4,1,5,Tucson,baseline
2017,17,12,4,13,2,7,Tucson,baseline
2018,27,16,5,23,2,6,Tucson,baseline
2019,32,16,4,27,3,11,Tucson,baseline
2020,1,2,0,0,0,0,Tucson,baseline
2021,3,3,1,3,0,0,Tucson,baseline
2022,5,12,1,5,2,7,Tucson,baseline
2023,5,15,1,3,2,7,Tucson,baseline
2024,6,10,1,3,1,3,Tucson,baseline
2025,2,9,0,0,1,4,Tucson,baseline
2026,0,0,0,0,0,0,Tucson,baseline
2027,20,13,4,20,2,8,Tucson,future
2028,11,27,2,6,4,20,Tucson,future
2029,10,23,2,6,5,23,Tucson,future
2030,11,6,2,10,1,3,Tucson,future
2031,8,11,2,8,3,10,Tucson,future
2032,13,24,3,10,4,17,Tucson,future
2033,8,23,2,7,3,17,Tucson,future
2034,14,11,3,11,1,6,Tucson,future
2035,3,14,1,3,4,14,Tucson,future
2036,21,8,2,14,1,3,Tucson,future
2037,7,3,1,7,1,3,Tucson,future
2038,18,17,3,10,1,7,Tucson,future
2039,29,33,5,27,3,29,Tucson,future
2040,12,12,2,9,0,0,Tucson,future
2041,4,6,1,3,1,4,Tucson,future
2042,26,13,4,21,2,9,Tucson,future
2043,6,12,1,5,2,10,Tucson,future
2044,23,22,3,19,2,15,Tucson,future
2045,18,14,4,13,2,13,Tucson,future
2046,19,10,2,19,2,6,Tucson,future
2047,14,30,1,9,4,25,Tucson,future
2048,8,7,1,8,1,4,Tucson,future
2049,5,12,1,3,2,10,Tucson,future
2050,31,30,3,31,3,25,Tucson,future
2051,21,25,3,17,2,22,Tucson,future
2052,13,19,3,13,3,12,Tucson,future
2053,15,10,1,13,0,0,Tucson,future
2054,29,29,6,25,5,25,Tucson,future
2055,20,23,4,18,3,17,Tucson,future
2056,20,28,4,16,3,25,Tucson,future
2057,32,22,5,30,4,18,Tucson,future
1996,1,1,0,0,0,0,Charlotte,baseline
1997,16,3,4,13,0,0,Charlotte,baseline
1998,13,6,2,9,0,0,Charlotte,baseline
1999,10,2,2,9,0,0,Charlotte,baseline
2000,2,6,0,0,0,0,Charlotte,baseline
